Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-2MAY26-67000-C,-,-,,3.84421,-22.95932,1.43064,0.00001,,0.99077,-,9.3,-,0.087,0.1135,0.1295,192.52,0.2
BTC-2MAY26-67000-P,27.4,66.1,,-0.04118,-12.512,1.43064,0.00001,,-0.00923,0.0002,20,64.02,0.0001,0.0002,0.0002,69.75,0.3
BTC-2MAY26-68000-C,-,-,,3.88322,-29.83548,1.98974,0.00001,,0.98651,-,0.2,-,0.0945,0.1003,0.1315,243.91,9.2
BTC-2MAY26-68000-P,41.2,31.2,,-0.06018,-17.81877,1.99041,0.00001,,-0.0135,0.0002,84.7,56.97,0.0001,0.0002,0.0003,65.84,20
BTC-2MAY26-69000-C,-,0.1,,3.90611,-41.59514,2.94757,0.00001,,0.97863,0.0985,9.1,-,0.0645,0.0873,0.0945,120.45,0.2
BTC-2MAY26-69000-P,2.3,1.9,,-0.09526,-28.05241,2.94757,0.00001,,-0.02137,0.0006,20,57.95,0.0003,0.0004,0.0005,62.86,103.8
BTC-2MAY26-70000-C,-,-,,3.91694,-53.64689,4.12722,0.00002,,0.96804,-,9.1,-,0.0415,0.0742,0.0995,187.61,9.1
BTC-2MAY26-70000-P,50.5,48.6,,-0.14243,-40.78293,4.12724,0.00002,,-0.03196,0.0003,46.2,52.42,0.0004,0.0005,0.0007,57.87,90.1
BTC-2MAY26-71000-C,25,25,,3.88919,-72.76745,6.05039,0.00004,,0.94879,0.0644,0.4,-,0.0595,0.0613,0.0625,60.94,0.6
BTC-2MAY26-71000-P,8.4,35.2,,-0.22816,-64.89674,6.05039,0.00004,,-0.05121,0.0004,2,50.34,0.0008,0.0009,0.001,52.76,80.7
BTC-2MAY26-72000-C,15,15,,3.79821,-99.17529,8.9275,0.00006,,0.91537,0.0521,0.2,-,0.047,0.0486,0.0495,52.18,0.6
BTC-2MAY26-72000-P,10,19.2,,-0.37713,-99.17529,8.9275,0.00006,,-0.08463,0.0014,27.7,46.09,0.0013,0.0014,0.0016,48.6,76.8
BTC-2MAY26-73000-C,-,-,,3.59415,-133.96506,13.0183,0.00009,,0.85665,-,9.8,-,0.015,0.0365,0.0485,94.34,0.2
BTC-2MAY26-73000-P,39.6,56.2,,-0.63919,-133.96685,13.01839,0.00009,,-0.14335,0.0025,1.6,43.14,0.0024,0.0025,0.0027,44.86,36.4
BTC-2MAY26-73500-C,-,-,,3.42777,-153.77541,15.4702,0.00011,,0.81294,-,10.3,-,0.01,0.0307,0.0385,73.5,0.2
BTC-2MAY26-73500-P,27,31,,-0.83456,-153.77541,15.4702,0.00011,,-0.18706,0.0023,23.4,41.42,0.0032,0.0034,0.0035,42.88,0.3
BTC-2MAY26-74000-C,-,-,,3.20338,-174.60093,18.04017,0.00013,,0.75636,-,11,19.75,0.0215,0.0253,0.0555,147.21,11
BTC-2MAY26-74000-P,60.9,57.3,,-1.08793,-174.59769,18.04006,0.00013,,-0.24363,0.0032,5.6,40.26,0.0044,0.0046,0.0047,41.52,0.6
BTC-2MAY26-74500-C,1.6,1.6,,2.93175,-190.29249,20.32545,0.00015,,0.68933,0.018,0.5,32.1,0.0185,0.0203,0.0215,43.41,0.5
BTC-2MAY26-74500-P,150.4,103.1,,-1.38857,-190.29406,20.32548,0.00015,,-0.31067,0.0045,20,39.17,0.006,0.0062,0.0065,41.03,74.6
BTC-2MAY26-75000-C,0.5,0.5,,2.60214,-201.79439,22.09005,0.00017,,0.60963,0.0135,16,33.6,0.0145,0.0158,0.0165,40.47,16
BTC-2MAY26-75000-P,66.2,28.4,,-1.74717,-201.79439,22.09005,0.00017,,-0.39037,0.008,25.6,37.85,0.008,0.0084,0.0085,39.56,3.6
BTC-2MAY26-75500-C,22.5,18.9,,2.23269,-203.11197,22.92989,0.00018,,0.52133,0.0135,1.1,36,0.0115,0.0118,0.012,37.65,17.7
BTC-2MAY26-75500-P,23.1,16.2,,-2.14562,-203.11197,22.92989,0.00018,,-0.47867,0.0095,21.1,36.4,0.0105,0.011,0.0115,39.69,42.7
